timestamp (μs),power (μA),pins (D0-D7)
42963,4.127117,01000000
43070,4.1139293,01000000
43098,3.9644694,01000000
43126,4.0479918,01000000
43296,4.1007423,01000000
43319,3.9512818,01000000
43347,3.801822,01000000
43461,3.784238,01000000
43491,3.6479657,01000000
43517,3.7974262,01000000
43633,3.678737,01000000
43664,3.678737,01000000
43689,3.6479652,01000000
43799,3.5424645,01000000
43827,3.4237754,01000000
43855,3.4193795,01000000
43882,3.419379,01000000
43995,3.4149833,01000000
44024,3.2831066,01000000
44051,3.1995852,01000000
44160,3.2303562,01000000
44189,3.1600218,01000000
44216,3.0501246,01000000
44374,2.887477,01000000
44401,2.9358315,01000000
44427,2.8215384,01000000
44547,2.874289,01000000
44565,2.8347259,01000000
44592,2.7775795,01000000
45114,2.7380166,01000000
45143,2.685266,01000000
45170,2.7556002,01000000
45197,2.8171425,01000000
45382,2.7863715,01000000
45410,2.6105356,01000000
45438,2.676474,01000000
45547,2.5665767,01000000
45576,2.7028494,01000000
45603,2.6105356,01000000
45714,2.5797646,01000000
45742,2.280844,01000000
45770,2.447888,01000000
45888,2.3599699,01000000
45916,2.2105098,01000000
45944,2.2808442,01000000
46058,2.4654713,01000000
46087,2.4610753,01000000
46115,2.2984273,01000000
46142,2.1533635,01000000
46294,2.078633,01000000
46321,2.0786328,01000000
46349,2.1885304,01000000
46466,1.9731318,01000000
46494,2.1050086,01000000
46522,1.96434,01000000
46637,1.9775276,01000000
46666,1.9775276,01000000
46693,1.9907154,01000000
46803,2.0566535,01000000
46831,1.9379647,01000000
46859,1.9599441,01000000
46975,2.003903,01000000
47003,1.920381,01000000
47031,1.845651,01000000
47058,1.7577331,01000000
47166,1.8148798,01000000
47194,1.8148798,01000000
47221,1.8104839,01000000
47381,1.7401497,01000000
47409,1.7225662,01000000
47437,1.8148797,01000000
47621,1.6961906,01000000
47649,1.7533373,01000000
47677,1.647836,01000000
47793,1.5906894,01000000
47821,1.6214607,01000000
47849,1.6830031,01000000
47978,1.6917948,01000000
48006,1.6742113,01000000
48034,1.7401497,01000000
48061,1.9423605,01000000
48589,1.7049825,01000000
48617,1.6522318,01000000
48645,1.6566279,01000000
48761,1.6610237,01000000
48789,1.529147,01000000
48818,1.8412552,01000000
48928,1.6302522,01000000
48956,1.5818975,01000000
48984,1.5599182,01000000
49094,1.5862936,01000000
49123,1.5731059,01000000
49150,1.5379386,01000000
49277,1.4236456,01000000
49305,1.4368333,01000000
49332,1.5555222,01000000
49360,1.4368333,01000000
49469,1.2785813,01000000
49497,1.4280416,01000000
49525,1.4368333,01000000
49636,1.406062,01000000
49664,1.3049567,01000000
49692,1.1511004,01000000
49804,1.406062,01000000
49833,1.4324373,01000000
49861,1.4851881,01000000
49976,1.2478101,01000000
50004,1.24781,01000000
50032,1.3840827,01000000
50142,1.2609977,01000000
50171,1.2961649,01000000
50199,1.0455992,01000000
50226,1.1511004,01000000
50388,1.208247,01000000
50416,1.3093525,01000000
50444,1.3972702,01000000
50554,1.2961648,01000000
50582,1.2170386,01000000
50610,1.1467044,01000000
50726,1.2741854,01000000
50754,1.2258304,01000000
50782,1.1291211,01000000
50890,1.0851622,01000000
50919,1.1291211,01000000
50947,1.1511004,01000000
51057,1.2609975,01000000
51086,1.1774757,01000000
51113,1.1379128,01000000
51140,1.1598922,01000000
51296,1.1818717,01000000
51323,1.1862676,01000000
51351,1.2390182,01000000
51877,1.2829771,01000000
51905,1.1511004,01000000
51933,1.2522058,01000000
52050,1.3093526,01000000
52079,1.3049567,01000000
52106,1.1818717,01000000
52282,1.1247251,01000000
52310,1.1467044,01000000
52335,1.1423086,01000000
52451,1.2829773,01000000
52481,1.1862676,01000000
52507,1.0631826,01000000
52535,1.085162,01000000
52693,1.1686841,01000000
52721,1.0280157,01000000
52749,1.1423086,01000000
52875,1.0587867,01000000
52904,1.006036,01000000
52930,0.94888955,01000000
53059,1.0236195,01000000
53089,1.1159334,01000000
53117,1.089558,01000000
53282,1.1027458,01000000
53309,1.1994554,01000000
53335,6.2327485,01000000
53450,6.9712577,01000000
53480,6.764651,01000000
53506,6.782234,01000000
53534,6.3997917,01000000
53646,6.3778124,01000000
53674,6.276707,01000000
53702,6.1799974,01000000
53813,6.16681,01000000
53842,6.1668096,01000000
53869,6.1096635,01000000
53985,5.9118485,01000000
54014,5.683263,01000000
54041,5.643699,01000000
54150,5.617324,01000000
54179,5.1909227,01000000
54207,5.30082,01000000
54369,5.2524652,01000000
54397,5.120589,01000000
54425,5.098609,01000000
54453,5.0458584,01000000
54557,4.9843154,01000000
54585,4.6809998,01000000
54613,4.852439,01000000
54730,4.8392515,01000000
54758,4.7161665,01000000
54785,4.5711026,01000000
55377,4.33812,01000000
55404,4.399663,01000000
55432,4.3205366,01000000
55543,4.2721815,01000000
55571,4.280974,01000000
55598,4.1578884,01000000
55715,4.105138,01000000
55743,4.0523877,01000000
55771,3.9600735,01000000
55798,4.0216165,01000000
55906,3.8457808,01000000
55935,3.7182999,01000000
55962,3.753467,01000000
56073,3.6567574,01000000
56102,3.4545465,01000000
56129,3.5688393,01000000
56284,3.5688396,01000000
56312,3.520485,01000000
56339,3.5600479,01000000
56453,3.467734,01000000
56482,3.4193795,01000000
56509,3.2655232,01000000
56627,3.2259603,01000000
56656,3.3358579,01000000
56683,3.2391477,01000000
56711,3.2215645,01000000
56817,3.0149574,01000000
56846,2.997374,01000000
56874,3.0105617,01000000
56989,3.0501246,01000000
57018,2.9797904,01000000
57045,2.7687879,01000000
57156,2.8962686,01000000
57184,2.883081,01000000
57212,2.7292247,01000000
57375,2.6808696,01000000
57402,2.7468083,01000000
57430,2.641307,01000000
57539,2.5973482,01000000
57566,2.6413066,01000000
57594,2.6808698,01000000
57622,2.6676824,01000000
57796,2.6413069,01000000
57823,2.597348,01000000
57851,2.5050342,01000000
57973,2.5402014,01000000
58001,2.6061397,01000000
58028,2.5489933,01000000
58157,2.3775537,01000000
58186,2.2236972,01000000
58213,2.2632604,01000000
58741,2.28524,01000000
58770,2.1885302,01000000
58797,2.2544687,01000000
58915,2.1401753,01000000
58943,1.9731318,01000000
58970,2.1006124,01000000
58998,2.2017183,01000000
59111,2.2676563,01000000
59139,1.9995072,01000000
59166,2.0214868,01000000
59290,2.1445715,01000000
59316,2.1050086,01000000
59344,1.9951111,01000000
59460,1.9643399,01000000
59489,1.9863195,01000000
59516,1.8764223,01000000
59632,1.8896097,01000000
59660,1.8148798,01000000
59687,1.8632345,01000000
59797,1.8676304,01000000
59826,1.8852141,01000000
59854,1.8588387,01000000
59881,1.7797127,01000000
59994,1.7841085,01000000
60023,1.766525,01000000
60051,1.7797127,01000000
60160,1.8016922,01000000
60188,1.6698154,01000000
60216,1.6302525,01000000
60378,1.5203551,01000000
60406,1.7313579,01000000
60434,1.5423347,01000000
60543,1.6434399,01000000
60572,1.5818976,01000000
60599,1.6170648,01000000
60716,1.6917948,01000000
60745,1.6302525,01000000
60772,1.5906893,01000000
60800,1.6082729,01000000
60906,1.3972701,01000000
60934,1.4676044,01000000
60961,1.3664991,01000000
61078,1.4368331,01000000
61107,1.5115635,01000000
61134,1.529147,01000000
61283,1.5423346,01000000
61311,1.5115634,01000000
61337,1.3840826,01000000
61454,1.3928745,01000000
61482,1.3533115,01000000
61510,1.326936,01000000
62032,1.4148538,01000000
62062,1.5467304,01000000
62088,1.5511265,01000000
62115,1.3401237,01000000
62300,1.4763963,01000000
62326,1.5071676,01000000
62353,1.4412291,01000000
62466,1.4720005,01000000
62494,1.2522058,01000000
62522,1.331332,01000000
62632,1.3664991,01000000
62662,1.3621032,01000000
62688,1.2346222,01000000
62894,1.2346222,01000000
62924,1.3137484,01000000
62952,1.2829771,01000000
63073,1.2522058,01000000
63103,1.3796867,01000000
63131,1.3796867,01000000
63157,1.3005607,01000000
63301,1.1774758,01000000
63327,1.32254,01000000
63355,1.1994553,01000000
63471,1.1071416,01000000
63499,1.1642882,01000000
63527,1.2258307,01000000
63636,1.1950592,01000000
63666,1.1115376,01000000
63692,1.0675786,01000000
63800,1.129121,01000000
63830,1.1554964,01000000
63857,1.1203293,01000000
63966,1.0675786,01000000
63995,1.1554962,01000000
64023,1.1642882,01000000
64050,1.1203291,01000000
64163,1.1115375,01000000
64191,1.0455991,01000000
64218,1.2346224,01000000
64377,1.1994554,01000000
64404,1.1642882,01000000
64432,1.164288,01000000
64540,1.1071415,01000000
64568,1.1027457,01000000
64596,1.0104319,01000000
64712,1.1379128,01000000
64740,1.0455991,01000000
64767,1.0236197,01000000
64877,1.0631827,01000000
64905,1.1159332,01000000
64933,0.99724424,01000000
64960,1.1115376,01000000
65481,1.1511004,01000000
65509,0.97086895,01000000
65537,0.74667865,01000000
65655,0.9840566,01000000
65683,1.1203293,01000000
65710,1.0807663,01000000
65827,3.705112,01000000
65855,6.8481736,01000000
65883,6.7119,01000000
65992,6.588815,01000000
66021,6.4745226,01000000
66049,6.4305634,01000000
66157,6.26352,01000000
66186,6.399792,01000000
66214,6.2239566,01000000
66242,6.09208,01000000
66380,5.9162445,01000000
66409,5.722825,01000000
66437,5.775576,01000000
66547,5.608533,01000000
66586,5.538198,01000000
66604,5.344779,01000000
66718,5.2700486,01000000
66746,5.1074014,01000000
66774,5.12938,01000000
66882,5.116193,01000000
66910,4.9227734,01000000
66937,4.9623365,01000000
67053,4.8656263,01000000
67081,4.7161665,01000000
67109,4.821668,01000000
67137,4.6853952,01000000
67293,4.6414366,01000000
67319,4.4392257,01000000
67347,4.469997,01000000
67463,4.33812,01000000
67491,4.302953,01000000
67519,4.2414103,01000000
67629,4.267786,01000000
67658,4.140305,01000000
67684,3.9644692,01000000
67801,3.9556777,01000000
67830,3.828197,01000000
67858,3.9293022,01000000
68016,3.7534668,01000000
68044,3.8281968,01000000
68073,3.6435695,01000000
68100,3.6875286,01000000
68211,3.6391735,01000000
68240,3.6171944,01000000
68272,3.6479657,01000000
68851,3.555652,01000000
68879,3.3842125,01000000
68907,3.3006904,01000000
69022,3.1820014,01000000
69050,3.186397,01000000
69078,3.129251,01000000
69194,3.0193534,01000000
69222,3.0061657,01000000
69249,3.0545204,01000000
69367,3.1072712,01000000
69395,3.0105617,01000000
69423,2.9270396,01000000
69451,2.7380164,01000000
69562,3.0501246,01000000
69590,2.8918726,01000000
69618,2.7160373,01000000
69733,2.7687879,01000000
69761,2.6896615,01000000
69788,2.6808698,01000000
69904,2.6676824,01000000
69933,2.5973482,01000000
69961,2.562181,01000000
70071,2.5094302,01000000
70099,2.4347,01000000
70127,2.5270138,01000000
70273,2.4962425,01000000
70301,2.2984273,01000000
70328,2.2808442,01000000
70356,2.408325,01000000
70467,2.2236974,01000000
70495,2.2632606,01000000
70523,2.2632604,01000000
70639,2.2676563,01000000
70667,2.1357799,01000000
70695,2.1533632,01000000
70805,2.087425,01000000
70834,1.9863198,01000000
70862,2.1885304,01000000
70976,2.2896361,01000000
71005,2.1929264,01000000
71032,2.1445713,01000000
71148,1.9819235,01000000
71175,2.091821,01000000
71203,2.0610495,01000000
71231,2.0258822,01000000
71387,1.8896099,01000000
71413,1.8192756,01000000
71441,1.96434,01000000
71549,1.880818,01000000
71577,1.8984016,01000000
71605,1.7797127,01000000
72130,1.8808181,01000000
72159,1.8808181,01000000
72186,1.8148797,01000000
72372,1.8104839,01000000
72400,1.7401497,01000000
72426,1.7577331,01000000
72537,1.7577331,01000000
72566,1.7269619,01000000
